Points,Wins,Points Percentage,Goals Against,Goals For,League Rank
66,29,0.4,268,196,20
52,21,0.32,248,157,30
112,52,0.68,220,250,21
111,52,0.68,191,248,4
107,46,0.65,220,267,7
98,43,0.6,206,207,11
91,40,0.55,228,235,19
88,38,0.54,242,216,6
84,37,0.51,237,227,14
116,54,0.71,209,266,3
111,51,0.68,200,249,22
100,46,0.61,174,206,18
83,36,0.51,223,196,8
77,35,0.47,241,209,16
67,29,0.41,270,203,28
77,36,0.8,102,155,7
60,29,0.62,115,129,4
56,24,0.58,115,124,12
55,24,0.57,119,120,23
41,16,0.43,139,111,6
72,36,0.75,119,165,15
56,26,0.58,112,130,1
55,24,0.57,139,139,10
49,23,0.51,141,133,24
48,19,0.5,129,112,25
66,30,0.69,118,140,3
59,27,0.61,118,133,18
57,25,0.59,116,124,22
48,22,0.5,142,130,19
63,29,0.66,126,149,2
62,28,0.65,109,131,17
57,26,0.59,133,145,27
56,25,0.58,104,116,13
48,21,0.5,143,125,30
59,26,0.61,121,127,8
55,26,0.57,127,122,11
45,19,0.47,134,125,28
42,19,0.44,160,128,16
39,16,0.41,152,116,21
57,27,0.59,130,149,9
51,24,0.53,144,128,14
42,19,0.44,160,128,26
40,18,0.42,150,148,5
36,15,0.38,171,112,20
111,51,0.68,198,249,8
90,37,0.55,226,202,16
88,41,0.54,220,208,21
81,35,0.49,226,177,11
74,32,0.45,239,212,28
109,51,0.66,187,226,1
108,51,0.66,221,282,15
103,47,0.63,232,264,24
102,48,0.62,209,228,25
79,34,0.48,255,203,10
109,49,0.66,165,210,4
104,48,0.63,210,237,6
102,48,0.62,203,248,12
101,45,0.62,238,248,7
65,29,0.4,262,202,23
102,49,0.62,202,269,17
92,41,0.56,240,249,13
89,39,0.54,230,218,30
80,35,0.49,264,231,27
78,31,0.48,226,212,2
96,43,0.59,210,228,22
95,40,0.58,179,194,18
89,42,0.54,222,211,19
80,34,0.49,231,204,3
94,38,0.57,227,203,20
92,42,0.56,230,222,9
84,38,0.51,281,235,5
84,37,0.51,246,225,14
82,33,0.5,243,213,26
77,36,0.8,102,155,7
60,29,0.62,115,129,4
56,24,0.58,115,124,15
55,24,0.57,119,120,14
41,16,0.43,139,111,19
72,36,0.75,119,165,6
56,26,0.58,112,130,12
55,24,0.57,139,139,26
49,23,0.51,141,133,13
48,19,0.5,129,112,20
66,30,0.69,118,140,2
59,27,0.61,118,133,10
57,25,0.59,116,124,5
51,21,0.53,131,125,18
48,22,0.5,142,130,16
63,29,0.66,126,149,9
62,28,0.65,109,131,1
57,26,0.59,133,145,23
56,25,0.58,104,116,21
48,21,0.5,143,125,30
59,26,0.61,121,127,25
55,26,0.57,127,122,11
45,19,0.47,134,125,28
42,19,0.44,160,128,27
39,16,0.41,152,116,3
57,27,0.59,130,149,17
51,24,0.53,144,128,22
42,19,0.44,160,128,24
40,18,0.42,150,148,8
36,15,0.38,171,112,29
111,51,0.68,198,249,25
90,37,0.55,226,202,27
88,41,0.54,220,208,3
81,35,0.49,226,177,11
74,32,0.45,239,212,28
109,51,0.66,187,226,12
108,51,0.66,221,282,6
103,47,0.63,232,264,13
102,48,0.62,209,228,20
79,34,0.48,255,203,26
109,49,0.66,165,210,4
104,48,0.63,210,237,19
102,48,0.62,203,248,15
101,45,0.62,238,248,7
65,29,0.4,262,202,14
102,49,0.62,202,269,1
92,41,0.56,240,249,21
89,39,0.54,230,218,30
80,35,0.49,264,231,23
78,31,0.48,226,212,9
97,42,0.59,204,216,18
96,43,0.59,210,228,5
95,40,0.58,179,194,10
89,42,0.54,222,211,16
80,34,0.49,231,204,2
94,38,0.57,227,203,29
92,42,0.56,230,222,17
84,38,0.51,281,235,8
84,37,0.51,246,225,22
82,33,0.5,243,213,24
117,54,0.71,185,262,25
94,41,0.57,237,250,27
86,39,0.52,233,206,11
68,30,0.41,288,227,3
62,25,0.38,269,193,28
107,48,0.65,197,224,17
103,46,0.63,240,247,8
91,40,0.55,239,236,24
72,30,0.44,229,195,29
106,47,0.65,223,259,13
106,49,0.65,199,238,6
93,44,0.57,198,233,12
81,38,0.49,209,174,20
73,30,0.45,264,229,26
105,48,0.64,213,248,5
99,47,0.6,235,239,2
99,43,0.6,226,231,18
98,46,0.6,198,219,10
95,42,0.58,233,227,16
104,47,0.63,241,261,15
99,44,0.6,194,219,19
97,44,0.59,225,258,7
